param,material,process,selected_system,selected_color,training_n_groups,training_median_abs_diff_pct,training_q25_abs_diff_pct,training_q75_abs_diff_pct,heldout_n,heldout_median_abs_diff_pct,heldout_mean_abs_diff_pct,heldout_q25_abs_diff_pct,heldout_q75_abs_diff_pct,retrospective_lowest_abs_diff_pct,excess_over_retrospective_lowest_pct,heldout_category
rsm,mo58a,b,int,blue,56,99.92085001311736,99.90054321771163,99.956073695599855,1,99.9689763159208,99.9689763159208,99.9689763159208,99.9689763159208,99.94999397770181,0.01898233821898998,>30\%
rsm,mo58a,gla,int,blue,56,99.92234187584711,99.90054321771163,99.95670724099288,1,99.9219113064219,99.9219113064219,99.9219113064219,99.9219113064219,99.9155080579772,0.006403248444698306,>30\%
rsm,mo58a,gri,FV,green,58,99.92273472588515,99.89393305741946,99.94667898862008,1,99.8953748121885,99.8953748121885,99.8953748121885,99.8953748121885,99.8953748121885,0,>30\%
rsm,mo58a,hon,FV,green,58,99.92273472588515,99.89349560424563,99.94667898862008,1,99.8971246248838,99.8971246248838,99.8971246248838,99.8971246248838,99.8971246248838,0,>30\%
rsm,mo58a,mf,int,blue,56,99.92085001311736,99.90054321771163,99.956073695599855,1,99.9733271058788,99.9733271058788,99.9733271058788,99.9733271058788,99.9603167250751,0.013010380803692101,>30\%
rsm,mo58a,mr,int,blue,56,99.92085001311736,99.90054321771163,99.95670724099288,1,99.9360653373921,99.9360653373921,99.9360653373921,99.9360653373921,99.7959768470627,0.14008849032938997,>30\%
rsm,mo58a,tf,int,blue,56,99.92085001311736,99.90054321771163,99.95670724099288,1,99.9248950318814,99.9248950318814,99.9248950318814,99.9248950318814,99.8441788237137,0.08071620816770064,>30\%
rsm,mo58a,tr,FV,green,58,99.92273472588515,99.89581226536234,99.94667898862008,1,99.8697701371245,99.8697701371245,99.8697701371245,99.8697701371245,99.8325787394922,0.03719139763229862,>30\%
rsm,mo58a,wedm_f,FV,green,58,99.92273472588515,99.89581226536234,99.94667898862008,1,99.8845169489964,99.8845169489964,99.8845169489964,99.8845169489964,99.8845169489964,0,>30\%
rsm,mo58a,wedm_r,FV,green,58,99.92273472588515,99.89349560424563,99.94667898862008,1,99.9179979585675,99.9179979585675,99.9179979585675,99.9179979585675,99.9098977604591,0.008100198108394352,>30\%
rsm,ti6al4v,b,int,blue,56,99.92085001311736,99.90054321771163,99.956073695599855,1,99.9754505569418,99.9754505569418,99.9754505569418,99.9754505569418,99.9541866153367,0.021263941605099035,>30\%
rsm,ti6al4v,gla,int,blue,56,99.92085001311736,99.90054321771163,99.95670724099288,1,99.9476887580167,99.9476887580167,99.9476887580167,99.9476887580167,99.9277716384706,0.01991711954609343,>30\%
rsm,ti6al4v,gri,int,blue,56,99.92085001311736,99.90054321771163,99.956073695599855,1,99.9718905951675,99.9718905951675,99.9718905951675,99.9718905951675,99.9683129954111,0.003577599756397376,>30\%
rsm,ti6al4v,hon,FV,green,58,99.92273472588515,99.89581226536234,99.94667898862008,1,99.8759120099217,99.8759120099217,99.8759120099217,99.8759120099217,99.8759120099217,0,>30\%
rsm,ti6al4v,mf,int,blue,56,99.92085001311736,99.90054321771163,99.95670724099288,1,99.956011372181493,99.956011372181493,99.956011372181493,99.956011372181493,99.9457852431996,0.010226128981898341,>30\%
rsm,ti6al4v,mr,int,blue,56,99.92085001311736,99.90054321771163,99.95670724099288,1,99.9432851973508,99.9432851973508,99.9432851973508,99.9432851973508,99.8647413091183,0.07854388823250247,>30\%
